S	I	R	t
204	65	131	0.645
204	65	131	0.645833
204	65	131	0.646667
204	64	132	0.6475
204	64	132	0.648333
203	65	132	0.649167
203	64	133	0.65
202	65	133	0.650833
202	65	133	0.651667
202	65	133	0.6525
202	65	133	0.653333
201	66	133	0.654167
201	66	133	0.655
201	66	133	0.655833
201	66	133	0.656667
201	66	133	0.6575
201	66	133	0.658333
201	66	133	0.659167
200	67	133	0.66
201	67	132	0.660833
201	67	132	0.661667
201	67	132	0.6625
200	67	133	0.663333
200	66	134	0.664167
200	66	134	0.665
200	66	134	0.665833
200	66	134	0.666667
200	66	134	0.6675
200	66	134	0.668333
200	66	134	0.669167
199	67	134	0.67
199	67	134	0.670833
199	66	135	0.671667
198	67	135	0.6725
199	67	134	0.673333
199	66	135	0.674167
200	66	134	0.675
200	66	134	0.675833
200	66	134	0.676667
200	65	135	0.6775
200	65	135	0.678333
200	65	135	0.679167
200	65	135	0.68
200	65	135	0.680833
200	65	135	0.681667
200	65	135	0.6825
200	65	135	0.683333
200	65	135	0.684167
200	65	135	0.685
200	64	136	0.685833
200	64	136	0.686667
200	63	137	0.6875
200	63	137	0.688333
200	63	137	0.689167
200	63	137	0.69
199	64	137	0.690833
199	64	137	0.691667
199	64	137	0.6925
199	64	137	0.693333
199	64	137	0.694167
199	64	137	0.695
199	64	137	0.695833
199	64	137	0.696667
199	64	137	0.6975
199	64	137	0.698333
199	64	137	0.699167
199	64	137	0.7
198	65	137	0.700833
198	65	137	0.701667
198	65	137	0.7025
198	65	137	0.703333
198	65	137	0.704167
197	66	137	0.705
197	66	137	0.705833
197	66	137	0.706667
197	66	137	0.7075
197	66	137	0.708333
197	66	137	0.709167
197	66	137	0.71
197	66	137	0.710833
197	66	137	0.711667
197	66	137	0.7125
198	66	136	0.713333
198	65	137	0.714167
198	65	137	0.715
198	65	137	0.715833
198	65	137	0.716667
198	65	137	0.7175
198	65	137	0.718333
198	65	137	0.719167
197	65	138	0.72
196	66	138	0.720833
197	66	137	0.721667
197	65	138	0.7225
197	65	138	0.723333
197	65	138	0.724167
197	65	138	0.725
197	65	138	0.725833
197	64	139	0.726667
197	63	140	0.7275
197	63	140	0.728333
197	63	140	0.729167
197	63	140	0.73
197	63	140	0.730833
197	63	140	0.731667
196	63	141	0.7325
197	63	140	0.733333
198	61	141	0.734167
198	61	141	0.735
198	61	141	0.735833
197	63	140	0.736667
197	62	141	0.7375
197	62	141	0.738333
197	62	141	0.739167
197	62	141	0.74
197	62	141	0.740833
197	62	141	0.741667
197	62	141	0.7425
197	62	141	0.743333
197	62	141	0.744167
197	62	141	0.745
197	62	141	0.745833
197	62	141	0.746667
197	61	142	0.7475
197	61	142	0.748333
196	62	142	0.749167
196	62	142	0.75
196	62	142	0.750833
195	63	142	0.751667
195	63	142	0.7525
195	63	142	0.753333
195	63	142	0.754167
195	63	142	0.755
195	63	142	0.755833
195	63	142	0.756667
195	62	143	0.7575
195	62	143	0.758333
