x	y	z	t
-1.54754	-0.236259	0	2.18
-1.54595	-0.261214	0	2.185
-1.54396	-0.286108	0	2.19
-1.54158	-0.310936	0	2.195
-1.5388	-0.335691	0	2.2
-1.53563	-0.360367	0	2.205
-1.53207	-0.384958	0	2.21
-1.52812	-0.409458	0	2.215
-1.5238	-0.433862	0	2.22
-1.51909	-0.458164	0	2.225
-1.514	-0.482358	0	2.23
-1.50854	-0.50644	0	2.235
-1.5027	-0.530402	0	2.24
-1.4965	-0.55424	0	2.245
-1.48992	-0.577949	0	2.25
-1.48299	-0.601524	0	2.255
-1.47569	-0.624959	0	2.26
-1.46804	-0.648248	0	2.265
-1.46004	-0.671388	0	2.27
-1.45168	-0.694373	0	2.275
-1.44297	-0.717199	0	2.28
-1.43393	-0.73986	0	2.285
-1.42454	-0.762352	0	2.29
-1.41481	-0.78467	0	2.295
-1.40475	-0.806809	0	2.3
-1.39437	-0.828766	0	2.305
-1.38365	-0.850536	0	2.31
-1.37262	-0.872113	0	2.315
-1.36126	-0.893495	0	2.32
-1.34959	-0.914677	0	2.325
-1.33761	-0.935654	0	2.33
-1.32532	-0.956424	0	2.335
-1.31273	-0.97698	0	2.34
-1.29983	-0.997321	0	2.345
-1.28665	-1.01744	0	2.35
-1.27317	-1.03734	0	2.355
-1.2594	-1.05701	0	2.36
-1.24535	-1.07645	0	2.365
-1.23102	-1.09565	0	2.37
-1.21641	-1.11461	0	2.375
-1.20153	-1.13334	0	2.38
-1.18639	-1.15182	0	2.385
-1.17098	-1.17005	0	2.39
-1.15531	-1.18803	0	2.395
-1.13939	-1.20575	0	2.4
-1.12322	-1.22322	0	2.405
-1.1068	-1.24042	0	2.41
-1.09014	-1.25737	0	2.415
-1.07324	-1.27404	0	2.42
-1.05611	-1.29045	0	2.425
-1.03875	-1.30658	0	2.43
-1.02116	-1.32244	0	2.435
-1.00336	-1.33803	0	2.44
-0.985333	-1.35333	0	2.445
-0.967098	-1.36835	0	2.45
-0.948657	-1.38308	0	2.455
-0.930012	-1.39753	0	2.46
-0.911169	-1.41169	0	2.465
-0.892133	-1.42556	0	2.47
-0.872906	-1.43913	0	2.475
-0.853494	-1.45241	0	2.48
-0.833902	-1.46539	0	2.485
-0.814134	-1.47807	0	2.49
-0.794193	-1.49045	0	2.495
-0.774086	-1.50253	0	2.5
-0.753816	-1.5143	0	2.505
-0.733387	-1.52576	0	2.51
-0.712805	-1.53692	0	2.515
-0.692074	-1.54776	0	2.52
-0.671198	-1.55829	0	2.525
-0.650182	-1.56851	0	2.53
-0.62903	-1.57841	0	2.535
-0.607747	-1.588	0	2.54
-0.586338	-1.59727	0	2.545
-0.564807	-1.60622	0	2.55
-0.543158	-1.61485	0	2.555
-0.521396	-1.62316	0	2.56
-0.499526	-1.63115	0	2.565
-0.477552	-1.63881	0	2.57
-0.455478	-1.64615	0	2.575
-0.43331	-1.65316	0	2.58
-0.411052	-1.65985	0	2.585
-0.388708	-1.66621	0	2.59
-0.366282	-1.67225	0	2.595
-0.343781	-1.67795	0	2.6
-0.321207	-1.68333	0	2.605
-0.298565	-1.68838	0	2.61
-0.275861	-1.69309	0	2.615
-0.253098	-1.69748	0	2.62
