x	y	z	t
0.364401	-0.931437	0	1.805
0.39347	-0.919529	0	1.81
0.422152	-0.906713	0	1.815
0.450417	-0.893003	0	1.82
0.478237	-0.878413	0	1.825
0.505586	-0.862955	0	1.83
0.532437	-0.846647	0	1.835
0.558762	-0.829503	0	1.84
0.584535	-0.811541	0	1.845
0.609732	-0.792778	0	1.85
0.634328	-0.773233	0	1.855
0.658297	-0.752925	0	1.86
0.681618	-0.731875	0	1.865
0.704266	-0.710102	0	1.87
0.726218	-0.687629	0	1.875
0.747455	-0.664478	0	1.88
0.767954	-0.64067	0	1.885
0.787695	-0.616231	0	1.89
0.806659	-0.591184	0	1.895
0.824827	-0.565553	0	1.9
0.842182	-0.539364	0	1.905
0.858705	-0.512643	0	1.91
0.874381	-0.485417	0	1.915
0.889195	-0.457711	0	1.92
0.903131	-0.429554	0	1.925
0.916175	-0.400973	0	1.93
0.928316	-0.371996	0	1.935
0.939541	-0.342652	0	1.94
0.949839	-0.31297	0	1.945
0.959199	-0.28298	0	1.95
0.967613	-0.25271	0	1.955
0.975073	-0.22219	0	1.96
0.98157	-0.191452	0	1.965
0.987098	-0.160524	0	1.97
0.991653	-0.129438	0	1.975
0.995229	-0.0982248	0	1.98
0.997822	-0.0669143	0	1.985
0.999432	-0.0355377	0	1.99
1.00005	-0.00412608	0	1.995
0.999691	0.0272896	0	2
0.998341	0.0586784	0	2.005
0.996005	0.0900093	0	2.01
0.992687	0.121251	0	2.015
0.988389	0.152374	0	2.02
0.983116	0.183346	0	2.025
0.976873	0.214137	0	2.03
0.969666	0.244717	0	2.035
0.961502	0.275055	0	2.04
0.952389	0.305122	0	2.045
0.942336	0.334888	0	2.05
0.931354	0.364323	0	2.055
0.919453	0.393399	0	2.06
0.906644	0.422087	0	2.065
0.892941	0.450358	0	2.07
0.878357	0.478185	0	2.075
0.862906	0.50554	0	2.08
0.846603	0.532397	0	2.085
0.829465	0.558727	0	2.09
0.811509	0.584507	0	2.095
0.792752	0.60971	0	2.1
0.773213	0.634311	0	2.105
0.752911	0.658287	0	2.11
0.731867	0.681613	0	2.115
0.7101	0.704266	0	2.12
0.687632	0.726225	0	2.125
0.664486	0.747467	0	2.13
0.640685	0.767972	0	2.135
0.616251	0.787719	0	2.14
0.59121	0.806689	0	2.145
0.565585	0.824863	0	2.15
0.539402	0.842223	0	2.155
0.512687	0.858752	0	2.16
0.485466	0.874435	0	2.165
0.457767	0.889254	0	2.17
0.429616	0.903197	0	2.175
0.401041	0.916248	0	2.18
0.37207	0.928396	0	2.185
0.342732	0.939627	0	2.19
0.313057	0.949932	0	2.195
0.283072	0.9593	0	2.2
0.252808	0.967721	0	2.205
0.222295	0.975188	0	2.21
0.191563	0.981694	0	2.215
0.160641	0.98723	0	2.22
0.129562	0.991794	0	2.225
0.0983541	0.995378	0	2.23
0.0670495	0.997982	0	2.235
0.0356788	0.9996	0	2.24
0.00427294	1.00023	0	2.245
-0.0271372	0.99988	0	2.25
-0.0585205	0.99854	0	2.255
-0.0898461	0.996216	0	2.26
-0.121083	0.992909	0	2.265
-0.152201	0.988623	0	2.27
-0.183168	0.983362	0	2.275
-0.213955	0.977131	0	2.28
-0.244531	0.969937	0	2.285
-0.274866	0.961786	0	2.29
-0.30493	0.952687	0	2.295
-0.334693	0.942648	0	2.3
-0.364126	0.93168	0	2.305
-0.393199	0.919793	0	2.31
-0.421886	0.906999	0	2.315
-0.450156	0.893311	0	2.32
-0.477982	0.878742	0	2.325
-0.505337	0.863307	0	2.33
-0.532194	0.84702	0	2.335
-0.558526	0.829898	0	2.34
-0.584308	0.811958	0	2.345
-0.609513	0.793218	0	2.35
-0.634118	0.773695	0	2.355
-0.658097	0.75341	0	2.36
-0.681427	0.732381	0	2.365
-0.704086	0.710631	0	2.37
-0.72605	0.68818	0	2.375
-0.747299	0.665051	0	2.38
-0.767811	0.641266	0	2.385
-0.787566	0.616849	0	2.39
-0.806544	0.591824	0	2.395
-0.824728	0.566215	0	2.4
-0.842098	0.540048	0	2.405
-0.858638	0.513349	0	2.41
-0.874332	0.486143	0	2.415
-0.889164	0.458459	0	2.42
-0.903119	0.430322	0	2.425
-0.916184	0.401762	0	2.43
-0.928346	0.372805	0	2.435
-0.939593	0.343481	0	2.44
-0.949914	0.313818	0	2.445
-0.959298	0.283846	0	2.45
-0.967736	0.253594	0	2.455
-0.975221	0.223092	0	2.46
-0.981744	0.19237	0	2.465
-0.9873	0.161458	0	2.47
-0.991882	0.130388	0	2.475
-0.995487	0.0991884	0	2.48
-0.99811	0.0678914	0	2.485
-0.99975	0.0365275	0	2.49
-1.0004	0.00512763	0	2.495
-1.00007	-0.0262773	0	2.5
-0.998754	-0.0576564	0	2.505
-0.996451	-0.0889786	0	2.51
-0.993167	-0.120213	0	2.515
-0.988903	-0.151329	0	2.52
-0.983665	-0.182296	0	2.525
-0.977457	-0.213083	0	2.53
-0.970285	-0.24366	0	2.535
-0.962157	-0.273997	0	2.54
-0.953081	-0.304064	0	2.545
-0.943065	-0.333831	0	2.55
-0.932119	-0.363269	0	2.555
-0.920255	-0.392349	0	2.56
-0.907483	-0.421042	0	2.565
-0.893817	-0.44932	0	2.57
-0.87927	-0.477155	0	2.575
-0.863856	-0.50452	0	2.58
-0.84759	-0.531388	0	2.585
-0.830489	-0.557731	0	2.59
-0.812569	-0.583525	0	2.595
-0.793848	-0.608743	0	2.6
-0.774345	-0.633362	0	2.605
-0.754078	-0.657356	0	2.61
-0.733067	-0.680702	0	2.615
-0.711334	-0.703377	0	2.62
-0.6889	-0.725358	0	2.625
-0.665787	-0.746625	0	2.63
-0.642017	-0.767155	0	2.635
-0.617614	-0.786929	0	2.64
-0.592602	-0.805927	0	2.645
-0.567006	-0.82413	0	2.65
-0.540851	-0.841521	0	2.655
-0.514163	-0.858083	0	2.66
-0.486968	-0.873798	0	2.665
-0.459292	-0.888652	0	2.67
-0.431164	-0.902629	0	2.675
-0.402611	-0.915716	0	2.68
-0.373661	-0.927901	0	2.685
-0.344342	-0.939171	0	2.69
-0.314684	-0.949514	0	2.695
-0.284715	-0.958922	0	2.7
-0.254466	-0.967383	0	2.705
-0.223965	-0.974891	0	2.71
-0.193244	-0.981437	0	2.715
-0.162332	-0.987016	0	2.72
-0.131261	-0.991621	0	2.725
-0.10006	-0.995249	0	2.73
-0.0687596	-0.997895	0	2.735
-0.0373919	-0.999557	0	2.74
-0.00598735	-1.00023	0	2.745
0.0254231	-0.999922	0	2.75
0.0568085	-0.998626	0	2.755
0.0881379	-0.996344	0	2.76
0.11938	-0.99308	0	2.765
0.150505	-0.988837	0	2.77
0.181481	-0.983618	0	2.775
0.212279	-0.977429	0	2.78
0.242867	-0.970276	0	2.785
0.273215	-0.962166	0	2.79
0.303294	-0.953107	0	2.795
0.333073	-0.943108	0	2.8
0.362525	-0.932178	0	2.805
0.391618	-0.920329	0	2.81
0.420326	-0.907573	0	2.815
0.448618	-0.893921	0	2.82
0.476468	-0.879387	0	2.825
0.503848	-0.863986	0	2.83
0.530732	-0.847732	0	2.835
0.557091	-0.830643	0	2.84
0.582901	-0.812733	0	2.845
0.608136	-0.794022	0	2.85
0.632771	-0.774528	0	2.855
0.656782	-0.75427	0	2.86
0.680145	-0.733267	0	2.865
0.702837	-0.711542	0	2.87
0.724835	-0.689114	0	2.875
0.746118	-0.666006	0	2.88
0.766666	-0.642241	0	2.885
0.786457	-0.617843	0	2.89
0.805472	-0.592835	0	2.895
0.823692	-0.567242	0	2.9
0.8411	-0.54109	0	2.905
0.857677	-0.514403	0	2.91
0.873409	-0.48721	0	2.915
0.888279	-0.459535	0	2.92
0.902272	-0.431407	0	2.925
0.915375	-0.402853	0	2.93
0.927575	-0.373902	0	2.935
0.93886	-0.344582	0	2.94
0.949219	-0.314922	0	2.945
0.958641	-0.284952	0	2.95
0.967117	-0.2547	0	2.955
0.974639	-0.224197	0	2.96
0.981199	-0.193472	0	2.965
0.986791	-0.162557	0	2.97
0.991409	-0.131481	0	2.975
0.995049	-0.100276	0	2.98
0.997708	-0.0689716	0	2.985
0.999381	-0.0375992	0	2.99
1.00007	-0.0061897	0	2.995
0.99977	0.0252259	0	3
0.998485	0.0566166	0	3.005
0.996214	0.0879515	0	3.01
0.992961	0.1192	0	3.015
0.988727	0.15033	0	3.02
0.983518	0.181312	0	3.025
0.977339	0.212115	0	3.03
0.970195	0.242709	0	3.035
0.962094	0.273064	0	3.04
0.953044	0.303149	0	3.045
0.943054	0.332935	0	3.05
0.932132	0.362392	0	3.055
0.920292	0.391492	0	3.06
0.907543	0.420206	0	3.065
0.893899	0.448505	0	3.07
0.879372	0.476361	0	3.075
0.863979	0.503747	0	3.08
0.847732	0.530637	0	3.085
0.83065	0.557003	0	3.09
0.812748	0.582819	0	3.095
0.794043	0.608061	0	3.1
0.774556	0.632702	0	3.105
0.754304	0.656719	0	3.11
0.733309	0.680088	0	3.115
0.711589	0.702787	0	3.12
0.689168	0.724792	0	3.125
0.666067	0.746082	0	3.13
0.642308	0.766636	0	3.135
0.617916	0.786433	0	3.14
0.592915	0.805455	0	3.145
0.567328	0.823682	0	3.15
0.541182	0.841097	0	3.155
0.514502	0.857682	0	3.16
0.487314	0.87342	0	3.165
0.459646	0.888297	0	3.17
0.431524	0.902298	0	3.175
0.402977	0.915409	0	3.18
0.374032	0.927617	0	3.185
0.344718	0.93891	0	3.19
0.315064	0.949277	0	3.195
0.2851	0.958707	0	3.2
0.254854	0.967192	0	3.205
0.224356	0.974722	0	3.21
0.193638	0.981292	0	3.215
0.162728	0.986893	0	3.22
0.131658	0.991521	0	3.225
0.100458	0.995171	0	3.23
0.0691594	0.99784	0	3.235
0.0377922	0.999524	0	3.24
0.00638773	1.00022	0	3.245
-0.025023	0.999935	0	3.25
-0.0564091	0.998661	0	3.255
-0.0877396	0.996402	0	3.26
-0.118984	0.99316	0	3.265
-0.15011	0.988939	0	3.27
-0.181089	0.983743	0	3.275
-0.211889	0.977577	0	3.28
-0.24248	0.970446	0	3.285
-0.272832	0.962359	0	3.29
-0.302914	0.953322	0	3.295
-0.332699	0.943346	0	3.3
-0.362155	0.932439	0	3.305
-0.391254	0.920613	0	3.31
-0.419967	0.907879	0	3.315
-0.448266	0.894249	0	3.32
-0.476123	0.879738	0	3.325
-0.50351	0.86436	0	3.33
-0.530401	0.848129	0	3.335
-0.55677	0.831062	0	3.34
-0.582589	0.813176	0	3.345
-0.607833	0.794488	0	3.35
-0.632479	0.775016	0	3.355
-0.656501	0.75478	0	3.36
-0.679875	0.7338	0	3.365
-0.702579	0.712097	0	3.37
-0.724591	0.689692	0	3.375
-0.745888	0.666606	0	3.38
-0.76645	0.642864	0	3.385
-0.786256	0.618487	0	3.39
-0.805287	0.593501	0	3.395
-0.823524	0.56793	0	3.4
-0.840949	0.541799	0	3.405
-0.857545	0.515133	0	3.41
-0.873296	0.48796	0	3.415
-0.888186	0.460306	0	3.42
-0.9022	0.432198	0	3.425
-0.915324	0.403664	0	3.43
-0.927547	0.374732	0	3.435
-0.938855	0.34543	0	3.44
-0.949237	0.315788	0	3.445
-0.958684	0.285835	0	3.45
-0.967185	0.2556	0	3.455
-0.974733	0.225113	0	3.46
-0.98132	0.194404	0	3.465
-0.98694	0.163503	0	3.47
-0.991587	0.132441	0	3.475
-0.995256	0.101249	0	3.48
-0.997944	0.0699566	0	3.485
-0.999649	0.0385954	0	3.49
-1.00037	0.00719622	0	3.495
-1.0001	-0.0242101	0	3.5
-0.998847	-0.0555925	0	3.505
-0.99661	-0.0869201	0	3.51
-0.99339	-0.118162	0	3.515
-0.98919	-0.149288	0	3.52
-0.984015	-0.180266	0	3.525
-0.977871	-0.211066	0	3.53
-0.970762	-0.241659	0	3.535
-0.962696	-0.272013	0	3.54
-0.953682	-0.302099	0	3.545
-0.943727	-0.331888	0	3.55
-0.932842	-0.361349	0	3.555
-0.921037	-0.390454	0	3.56
-0.908324	-0.419174	0	3.565
-0.894716	-0.44748	0	3.57
-0.880226	-0.475346	0	3.575
-0.864868	-0.502743	0	3.58
-0.848657	-0.529644	0	3.585
-0.83161	-0.556024	0	3.59
-0.813742	-0.581855	0	3.595
-0.795073	-0.607112	0	3.6
-0.77562	-0.631771	0	3.605
-0.755402	-0.655807	0	3.61
-0.734439	-0.679196	0	3.615
-0.712752	-0.701916	0	3.62
-0.690363	-0.723944	0	3.625
-0.667293	-0.745258	0	3.63
-0.643564	-0.765837	0	3.635
-0.619202	-0.785662	0	3.64
-0.594229	-0.804711	0	3.645
-0.56867	-0.822967	0	3.65
-0.54255	-0.840412	0	3.655
-0.515895	-0.857028	0	3.66
-0.488732	-0.872799	0	3.665
-0.461087	-0.88771	0	3.67
-0.432987	-0.901745	0	3.675
-0.40446	-0.914891	0	3.68
-0.375535	-0.927135	0	3.685
-0.346239	-0.938464	0	3.69
-0.316602	-0.948868	0	3.695
-0.286652	-0.958337	0	3.7
-0.25642	-0.966861	0	3.705
-0.225935	-0.974431	0	3.71
-0.195227	-0.98104	0	3.715
-0.164327	-0.986682	0	3.72
-0.133264	-0.991351	0	3.725
-0.10207	-0.995042	0	3.73
-0.0707758	-0.997752	0	3.735
-0.0394115	-0.999478	0	3.74
-0.00800839	-1.00022	0	3.745
0.0234027	-0.999972	0	3.75
0.0547906	-0.998739	0	3.755
0.0861246	-0.996522	0	3.76
0.117374	-0.993322	0	3.765
0.148507	-0.989142	0	3.77
0.179494	-0.983986	0	3.775
0.210303	-0.97786	0	3.78
0.240906	-0.97077	0	3.785
0.27127	-0.962722	0	3.79
0.301367	-0.953724	0	3.795
0.331167	-0.943786	0	3.8
0.360641	-0.932917	0	3.805
0.389758	-0.921128	0	3.81
0.418491	-0.90843	0	3.815
0.446811	-0.894836	0	3.82
0.474691	-0.880359	0	3.825
0.502102	-0.865014	0	3.83
0.529018	-0.848816	0	3.835
0.555412	-0.831781	0	3.84
0.581259	-0.813924	0	3.845
0.606532	-0.795265	0	3.85
